1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year
0/0,5/1,18/1,21/1,29/1,38/1,44/2,58/2,60/3,64/3,73/3,77/4,82/4,89/4,99/4,105/4,113/4,129/5,139/5,149/5,2/0,5/1,7/1,11/1,25/1,28/1,35/1,43/1,47/1,54/1,62/2,66/2,77/2,86/2,93/3,95/4,101/5,109/6,114/6,135/6,defend,2021
0/0,10/0,14/1,21/1,33/1,37/1,48/1,48/2,55/2,64/2,71/2,80/2,89/2,91/3,98/3,108/3,113/4,119/4,122/4,132/4,3/0,4/1,9/1,12/1,12/1,17/1,29/1,30/1,34/2,35/4,40/4,41/5,44/6,45/7,52/7,58/8,61/8,65/8,67/10,67/10,defend,2021
0/0,1/0,3/0,8/0,10/1,12/1,16/1,20/1,23/1,24/1,28/1,33/2,37/2,41/2,43/2,50/2,61/2,67/2,70/4,71/6,2/0,7/1,7/2,18/2,20/2,22/2,29/2,33/2,43/2,48/2,55/3,60/3,65/3,68/3,72/3,72/3,72/3,72/3,72/3,72/3,chased,2021
0/0,1/0,2/0,2/1,7/1,9/2,13/2,16/3,26/4,34/4,42/4,50/4,57/4,61/5,65/5,68/6,76/6,80/7,82/9,82/10,9/0,10/1,21/1,28/1,39/1,42/1,53/2,58/2,73/2,78/3,83/3,83/3,83/3,83/3,83/3,83/3,83/3,83/3,83/3,83/3,chased,2021
0/0,8/0,9/0,16/1,18/1,18/1,24/1,28/1,32/1,34/2,37/2,43/2,45/2,47/2,50/2,53/2,54/3,62/3,67/4,76/5,17/0,19/1,33/1,46/1,67/2,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,chased,2021
0/0,1/0,8/0,9/0,17/0,19/0,21/0,28/0,40/0,43/0,49/0,58/0,71/0,80/0,85/0,92/1,99/2,111/3,119/5,124/5,8/0,9/0,11/1,13/1,19/1,23/2,29/3,33/4,40/4,46/5,47/6,50/6,56/6,65/7,71/7,82/7,89/7,95/8,103/9,105/9,defend,2020
0/0,7/0,18/0,25/1,34/1,42/1,44/2,47/3,54/3,57/4,66/4,72/4,78/4,84/5,88/5,100/5,102/6,108/6,116/7,123/7,1/0,4/0,9/0,20/0,27/1,34/1,38/1,44/3,49/3,58/3,69/3,75/3,81/3,92/3,94/3,98/4,99/5,108/5,116/5,125/5,chased,2020
0/1,8/1,10/1,14/1,19/1,35/1,48/1,52/1,68/1,72/1,78/1,90/1,98/1,108/1,110/2,120/2,126/3,138/3,155/3,162/4,8/0,12/1,18/1,23/2,25/2,37/2,38/3,39/3,41/3,48/3,53/3,58/3,64/4,65/5,71/5,71/5,76/6,78/6,84/7,90/8,defend,2026
0/1,5/1,6/2,9/2,16/3,21/3,27/3,29/3,31/3,33/3,35/3,36/3,40/3,48/3,55/3,56/4,59/5,64/6,70/7,82/7,5/0,16/0,19/0,27/0,35/0,53/0,58/0,61/1,66/1,70/2,73/2,78/2,85/3,85/3,85/3,85/3,85/3,85/3,85/3,85/3,chased,2026
0/1,6/1,10/1,18/2,24/2,24/3,27/4,35/4,40/5,44/5,48/5,54/5,64/5,69/5,70/5,77/5,84/6,90/7,99/8,101/9,2/1,15/1,20/2,22/2,24/2,32/2,38/2,40/2,46/2,48/3,51/3,54/4,59/4,65/4,72/4,76/5,81/5,95/5,102/6,102/6,chased,2025
