1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year
4/0,12/0,13/0,16/0,24/0,39/0,46/0,50/0,54/0,61/0,75/0,79/0,84/0,89/0,95/1,99/1,112/1,117/1,124/2,128/4,8/1,11/2,15/2,18/2,20/2,33/2,39/2,40/2,45/3,45/3,52/3,53/4,60/5,67/5,70/6,76/6,81/9,81/10,81/10,81/10,defend,2022
4/0,6/0,15/0,20/0,26/0,28/0,35/1,46/1,52/1,55/1,60/1,68/1,74/1,84/1,93/1,100/2,110/2,119/3,125/3,130/3,11/0,21/0,23/1,23/1,25/1,34/1,40/1,40/1,45/1,53/1,61/1,66/1,74/1,85/1,86/2,102/2,103/3,116/3,121/3,131/3,chased,2022
4/0,6/0,13/0,19/0,24/0,31/0,37/0,44/0,51/0,62/0,69/0,70/2,72/3,72/3,80/4,82/5,84/7,91/7,99/7,107/8,10/0,14/0,16/1,21/1,25/1,28/1,31/1,32/2,35/2,45/2,50/2,54/3,58/3,65/4,73/4,78/5,87/5,93/6,100/6,108/6,chased,2022
4/0,8/0,10/1,13/1,15/1,19/1,23/1,28/1,33/2,36/3,38/4,49/4,51/5,54/6,59/6,59/7,61/8,62/9,62/10,62/10,6/0,18/0,24/0,27/0,29/0,32/1,42/1,55/1,64/1,64/1,64/1,64/1,64/1,64/1,64/1,64/1,64/1,64/1,64/1,64/1,chased,2022
4/0,9/0,9/0,17/0,19/2,23/2,26/2,33/2,38/2,41/2,45/2,54/2,60/3,64/3,69/3,76/3,84/3,92/5,99/5,106/6,7/0,12/0,16/0,19/0,26/0,34/1,37/1,39/1,48/1,59/1,66/2,74/2,74/3,80/4,87/5,99/5,103/5,108/5,108/5,108/5,chased,2022
4/0,22/1,32/1,40/1,50/1,56/1,62/1,66/1,78/1,103/1,106/1,115/1,126/1,137/1,143/2,148/2,153/3,156/4,159/4,171/4,6/0,7/1,10/1,15/1,16/1,17/1,19/2,22/3,25/4,31/5,33/5,34/5,45/6,48/7,50/8,53/8,53/9,54/10,54/10,54/10,defend,2022
4/0,8/1,18/1,22/1,27/3,30/3,37/3,41/3,55/3,60/3,71/3,73/4,84/4,91/4,94/4,98/4,111/4,113/5,118/8,130/8,4/0,11/1,13/1,17/1,31/1,33/1,40/1,50/1,61/1,65/2,71/2,71/2,71/2,71/2,71/2,71/2,71/2,71/2,71/2,71/2,chased,2022
4/0,9/0,12/1,19/2,19/3,26/3,26/5,28/5,30/5,32/5,36/5,39/5,44/5,46/5,48/6,56/6,61/6,72/6,80/6,86/6,7/0,18/0,33/0,42/0,47/0,49/0,51/0,54/1,58/1,61/1,66/2,71/2,72/2,73/3,78/4,83/4,87/4,87/4,87/4,87/4,chased,2022
4/0,13/0,17/0,19/0,24/0,27/0,38/1,43/1,45/1,50/1,51/1,53/2,58/2,64/2,68/3,74/3,81/4,90/4,104/4,113/5,1/0,4/0,7/1,13/1,13/3,13/3,14/3,16/3,20/3,27/3,32/3,42/3,45/4,50/4,52/5,56/5,63/5,79/5,92/5,102/7,defend,2022
4/0,14/0,18/0,20/1,21/2,21/3,21/4,25/4,27/4,29/4,32/4,38/4,43/5,46/5,49/7,52/7,54/7,65/8,69/9,76/9,6/0,8/1,16/1,21/1,33/1,45/1,53/2,55/2,61/2,66/2,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,77/3,chased,2022
4/0,11/0,16/0,16/0,25/0,25/1,30/1,35/1,42/1,51/1,55/1,62/1,68/2,73/2,81/2,85/2,88/3,95/3,104/3,117/3,2/0,14/0,18/0,25/0,37/0,42/0,45/0,50/0,52/1,54/1,61/1,66/2,72/2,77/2,84/3,87/4,95/4,101/4,107/5,118/5,chased,2022
4/0,6/0,16/0,20/0,25/1,29/1,34/1,37/1,42/2,51/2,57/2,64/2,66/3,76/3,79/3,81/3,90/3,98/3,104/3,111/4,36/0,40/0,42/0,54/0,56/0,61/2,70/2,80/2,85/2,92/4,100/4,105/5,110/5,112/5,116/5,120/5,124/7,128/7,141/7,144/9,unknown,2022
4/0,16/0,23/0,25/1,27/1,35/1,40/1,44/2,53/2,57/2,59/3,63/3,68/4,74/4,79/4,83/4,86/5,90/5,101/7,109/9,8/0,13/0,17/1,20/1,23/2,24/2,30/2,37/3,41/3,44/6,54/7,54/7,54/7,54/7,54/7,54/7,54/7,54/7,54/7,54/7,defend,2022
4/0,11/0,14/0,17/1,27/1,34/1,40/1,41/3,43/3,51/3,59/3,67/3,72/3,78/4,88/5,99/5,112/5,119/5,136/5,145/5,1/0,5/0,16/0,17/1,19/1,21/1,21/2,22/2,28/2,31/2,38/2,39/3,43/3,44/3,52/3,56/3,61/4,66/4,70/5,74/5,defend,2022
4/0,6/1,8/1,14/1,22/1,23/1,28/1,31/2,34/3,36/3,40/3,47/3,53/3,56/3,61/4,68/4,72/4,79/5,83/5,83/5,3/0,10/1,15/2,21/2,27/2,30/6,37/7,37/7,37/7,37/7,37/7,37/7,37/7,37/7,37/7,37/7,37/7,37/7,37/7,37/7,defend,2022
4/0,9/0,18/0,23/1,35/1,39/2,44/2,47/2,48/2,63/2,68/2,74/2,79/2,82/2,87/2,92/3,97/3,102/4,112/5,122/6,11/0,17/0,31/0,37/1,43/1,46/1,47/2,55/2,58/2,62/2,66/3,74/3,78/3,84/3,89/3,100/3,105/3,110/4,114/5,121/6,defend,2022
4/0,11/0,14/0,18/1,32/2,35/2,37/2,41/2,48/2,52/2,58/2,59/3,64/3,68/3,75/3,79/4,85/5,88/5,91/7,101/7,16/2,20/2,22/2,25/2,28/3,32/3,34/4,37/4,41/4,47/4,54/4,62/4,63/5,76/6,79/8,95/8,99/8,100/9,102/9,110/9,unknown,2022
4/0,5/2,5/2,5/2,8/2,12/2,15/2,22/2,28/2,30/2,36/3,41/3,44/3,49/3,53/4,56/5,62/5,68/6,73/7,73/7,0/0,6/0,14/0,20/0,23/0,26/0,33/0,37/0,40/0,43/0,44/1,46/2,55/2,56/2,61/3,67/3,70/3,73/5,74/5,74/5,chased,2022
4/0,11/0,15/0,18/2,24/2,35/2,55/2,63/3,67/3,71/4,77/4,81/4,84/5,90/5,97/6,104/6,109/6,119/6,120/8,126/8,2/0,9/1,18/1,25/1,26/1,30/1,37/1,43/1,47/1,49/1,54/2,62/2,63/3,66/4,71/4,78/4,82/5,89/6,91/6,95/6,defend,2022
4/0,9/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,14/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,unknown,2021
4/0,15/0,26/0,47/0,49/0,49/0,54/0,66/0,72/1,73/2,75/2,83/2,91/2,97/2,102/2,114/3,116/3,125/4,139/4,148/4,5/0,13/1,31/2,38/2,47/2,52/2,54/2,64/2,74/2,80/2,90/2,92/2,105/2,106/4,116/4,122/5,125/6,131/6,135/7,140/8,defend,2021
4/0,4/0,7/0,8/0,11/1,11/1,17/3,24/3,26/3,27/4,30/4,31/5,34/6,39/7,41/7,42/8,44/8,46/8,48/8,52/8,2/0,10/0,16/0,23/1,29/1,34/2,38/2,44/2,52/2,56/2,56/2,56/2,56/2,56/2,56/2,56/2,56/2,56/2,56/2,56/2,chased,2021
4/0,9/0,13/0,19/1,27/1,33/1,41/1,46/1,54/1,60/1,70/1,74/2,82/2,95/2,97/2,102/2,113/2,130/2,142/2,156/2,1/0,2/0,5/0,5/0,11/0,12/0,15/1,18/1,24/2,25/3,27/3,35/3,36/3,39/3,42/4,46/5,49/5,51/6,57/7,65/8,defend,2021
4/0,11/0,18/0,19/0,24/1,28/1,35/2,41/2,44/3,46/4,49/4,50/4,50/4,54/4,55/6,56/6,58/7,61/8,69/8,76/9,9/0,13/0,17/0,23/0,31/0,35/1,36/3,42/3,48/3,54/3,57/3,65/3,68/3,75/3,77/4,77/4,77/4,77/4,77/4,77/4,chased,2021
4/0,8/0,14/1,18/1,28/2,29/2,37/2,47/2,59/2,68/2,76/3,81/3,83/3,84/4,87/5,92/5,102/5,107/5,119/5,129/6,1/0,1/2,5/2,7/3,10/3,14/3,15/3,21/4,24/4,30/4,38/4,42/4,48/4,51/5,51/6,57/6,63/6,65/7,68/8,68/10,defend,2021
4/0,12/0,14/0,25/0,26/1,29/1,32/1,36/2,39/3,41/3,53/3,62/3,69/3,82/3,90/3,99/3,115/3,123/3,136/3,156/4,27/0,36/1,41/1,48/1,53/1,65/1,72/1,81/1,86/2,89/3,97/3,100/3,107/3,114/3,122/5,131/5,135/7,152/7,163/8,174/8,unknown,2020
4/0,4/0,11/0,21/1,25/1,30/1,40/1,48/1,54/1,64/1,69/1,80/1,84/1,94/1,104/1,122/1,135/1,147/1,157/1,172/1,6/0,8/1,18/1,27/1,33/2,36/3,36/4,41/4,45/4,47/5,51/7,53/8,55/8,57/10,57/10,57/10,57/10,57/10,57/10,57/10,defend,2020
4/0,12/0,20/0,26/0,28/0,31/0,34/0,34/1,34/1,37/1,41/1,48/2,53/3,58/3,62/4,71/4,76/4,84/5,91/7,99/8,1/0,2/1,11/1,18/1,20/1,25/1,31/1,38/2,46/3,55/3,61/4,67/4,70/4,74/4,77/4,82/4,88/4,102/4,102/4,102/4,chased,2020
4/0,9/0,15/0,21/0,29/0,36/0,48/0,62/0,68/0,73/0,78/1,87/1,99/1,107/1,115/1,120/1,130/1,136/2,149/2,165/2,6/1,9/1,10/2,14/2,19/2,19/2,21/3,25/4,28/4,36/4,39/5,43/6,47/6,54/6,56/6,58/7,59/8,72/9,83/10,83/10,defend,2020
4/1,6/3,9/3,13/4,25/4,29/4,35/4,40/4,53/4,67/4,75/4,85/4,92/4,97/4,110/4,114/4,130/4,146/4,155/4,170/5,2/0,17/0,27/0,32/1,41/1,49/1,59/1,68/1,74/1,76/2,82/2,89/2,98/2,107/2,116/2,120/4,134/4,141/4,147/5,156/6,defend,2026
4/1,5/1,5/2,5/4,10/4,14/6,14/9,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,13/1,19/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,20/1,chased,2026
4/1,14/2,25/2,29/3,33/3,40/3,51/4,57/4,64/4,74/4,81/4,83/5,86/6,89/7,94/7,101/7,111/7,111/7,111/7,111/7,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,unknown,2026
4/1,7/2,10/2,13/2,19/2,30/2,35/2,42/4,49/4,56/4,58/4,60/4,61/5,70/5,75/5,82/5,88/5,94/6,104/6,108/6,4/0,7/0,11/1,22/1,29/1,32/2,34/3,38/3,38/4,45/4,46/4,48/5,50/5,55/5,60/5,62/6,67/8,69/8,74/9,74/10,defend,2026
4/1,6/1,11/1,16/1,20/1,23/1,23/2,26/2,35/2,38/4,44/4,46/5,51/5,58/5,58/6,64/6,65/7,65/7,68/7,77/8,8/0,13/0,28/0,36/0,40/0,51/0,56/0,64/0,73/0,78/0,78/0,78/0,78/0,78/0,78/0,78/0,78/0,78/0,78/0,78/0,chased,2025
4/1,12/1,19/1,30/1,33/2,38/2,43/2,50/2,53/2,56/3,58/3,60/3,64/3,67/4,73/4,78/5,84/5,91/6,95/7,114/7,8/0,11/1,12/3,12/4,13/5,24/5,30/5,32/5,36/5,42/5,47/5,51/5,53/6,58/7,59/8,64/8,74/8,74/10,74/10,74/10,defend,2025
4/1,10/1,11/1,14/2,17/2,17/3,19/3,20/3,21/3,27/3,30/3,38/4,45/4,49/5,52/7,55/8,61/8,62/8,62/10,62/10,10/0,16/0,22/0,31/0,40/0,54/0,61/0,63/0,63/0,63/0,63/0,63/0,63/0,63/0,63/0,63/0,63/0,63/0,63/0,63/0,chased,2025
4/1,4/1,5/2,5/2,14/2,16/2,18/2,21/2,27/2,33/2,39/4,40/4,44/5,53/5,57/5,64/6,66/7,69/8,70/10,70/10,5/1,15/1,19/1,25/1,31/1,40/1,43/2,53/2,60/2,71/2,71/2,71/2,71/2,71/2,71/2,71/2,71/2,71/2,71/2,71/2,chased,2025
4/1,11/2,12/3,14/3,15/4,26/4,28/5,28/5,30/5,33/6,43/6,46/6,50/7,54/8,54/9,57/9,60/9,62/9,64/9,68/9,6/0,10/0,12/0,13/0,14/0,16/0,17/0,20/0,32/0,34/2,42/2,52/2,60/2,69/2,69/2,69/2,69/2,69/2,69/2,69/2,chased,2025
4/1,9/1,13/2,22/2,26/4,35/5,42/5,47/6,57/6,63/6,63/6,63/6,63/6,63/6,63/6,63/6,63/6,63/6,63/6,63/6,7/0,18/0,22/0,31/0,36/0,44/0,49/0,57/0,60/1,64/2,64/2,64/2,64/2,64/2,64/2,64/2,64/2,64/2,64/2,64/2,chased,2025
4/1,6/1,16/1,22/1,26/1,27/1,33/1,39/1,42/1,44/2,45/2,48/2,52/2,58/3,61/3,66/3,70/3,79/3,84/4,91/4,1/2,3/2,14/2,21/2,27/2,31/2,34/2,39/2,44/3,50/3,57/3,67/3,74/3,80/4,85/4,88/4,93/4,93/4,93/4,93/4,chased,2025
4/1,5/1,5/2,12/3,13/3,18/3,28/3,32/3,36/3,37/4,42/4,48/4,56/4,57/5,61/5,63/5,67/5,74/5,77/6,89/6,2/0,14/0,17/0,21/0,35/0,41/0,55/0,59/0,64/0,67/0,69/0,72/0,85/0,92/0,92/0,92/0,92/0,92/0,92/0,92/0,chased,2024
4/1,9/1,18/1,29/1,30/3,30/3,32/3,34/3,40/3,43/4,47/4,54/4,56/4,65/5,68/5,74/5,84/5,86/5,99/5,108/6,10/0,17/0,25/0,33/0,39/0,52/0,60/0,73/0,79/0,92/0,104/0,110/1,110/1,110/1,110/1,110/1,110/1,110/1,110/1,110/1,chased,2024
4/1,5/1,7/1,16/1,23/1,30/1,37/1,43/1,55/1,58/2,66/2,78/2,88/2,92/3,100/4,104/5,112/5,120/5,133/6,141/7,5/0,16/0,20/0,27/0,41/0,47/0,55/0,60/1,70/1,75/1,82/1,92/1,95/1,100/1,111/1,115/2,127/2,133/3,136/4,142/4,chased,2024
4/1,7/1,12/1,18/1,23/1,30/1,35/1,41/1,49/1,52/1,56/2,60/2,65/3,69/3,75/4,84/4,103/4,110/4,111/4,125/4,3/0,9/1,13/1,18/1,22/1,27/1,35/1,40/1,43/2,49/3,54/3,60/3,64/3,67/4,72/6,75/7,81/7,87/8,92/8,98/10,defend,2024
4/1,10/2,10/2,10/2,13/2,15/2,19/3,21/3,26/4,27/4,35/5,36/6,37/6,38/7,40/7,41/7,42/7,45/8,49/9,50/10,2/0,3/0,7/0,14/0,23/0,31/0,36/1,37/1,45/1,51/1,51/1,51/1,51/1,51/1,51/1,51/1,51/1,51/1,51/1,51/1,chased,2024
4/1,13/1,17/1,29/1,37/1,47/1,58/1,69/1,78/1,83/2,90/2,99/2,105/2,115/2,132/2,145/2,150/2,159/2,162/3,171/4,0/0,1/0,6/0,17/2,25/2,31/3,44/3,52/3,53/3,57/4,59/5,61/5,70/5,71/5,77/5,77/9,91/9,99/9,102/10,102/10,defend,2024
4/1,7/2,9/2,14/2,21/2,28/2,32/2,36/3,40/3,46/3,55/4,57/4,59/5,65/5,68/5,73/6,76/6,80/7,84/7,93/8,2/0,2/0,6/0,8/1,10/1,12/1,12/1,14/1,17/1,19/2,22/4,25/4,28/4,31/4,33/6,38/7,40/8,42/8,42/8,50/8,defend,2024
4/1,12/1,15/1,27/2,32/3,36/4,48/4,48/4,50/4,62/4,68/4,80/4,85/4,91/4,98/4,100/6,104/6,109/6,119/7,130/9,4/1,9/1,15/1,22/1,31/1,33/1,35/1,43/2,46/3,51/3,61/3,70/3,74/5,79/5,83/5,90/5,94/6,97/7,102/7,110/7,defend,2024
4/1,10/1,20/1,33/1,38/1,47/1,54/1,56/1,69/1,73/2,83/3,89/3,103/3,119/3,126/3,139/4,152/5,158/7,165/8,173/9,7/2,7/2,9/2,14/2,25/2,29/3,37/3,50/4,53/5,61/5,64/6,66/8,69/8,76/10,76/10,76/10,76/10,76/10,76/10,76/10,defend,2023
4/1,8/1,14/2,22/2,32/2,44/2,50/3,55/3,56/4,62/4,66/4,72/4,80/5,87/5,97/5,104/5,111/5,118/5,125/6,132/6,1/1,7/1,8/2,13/3,18/4,19/4,23/4,25/4,31/4,34/5,41/5,43/5,47/5,49/7,53/8,60/8,65/8,66/9,67/10,67/10,defend,2023
4/1,5/1,6/2,7/4,7/4,7/6,7/7,15/8,20/8,22/9,26/9,26/10,26/10,26/10,26/10,26/10,26/10,26/10,26/10,26/10,8/0,14/0,19/0,22/0,22/1,22/1,28/1,28/1,28/1,28/1,28/1,28/1,28/1,28/1,28/1,28/1,28/1,28/1,28/1,28/1,chased,2023
4/1,14/1,19/1,26/1,32/1,35/2,39/3,43/3,46/3,49/3,55/3,58/3,65/3,70/3,74/3,82/3,87/3,93/3,100/3,105/4,4/0,5/1,7/1,9/2,10/3,12/4,13/5,17/8,19/8,19/9,24/9,25/9,27/10,27/10,27/10,27/10,27/10,27/10,27/10,27/10,defend,2023
4/1,20/1,34/1,41/1,47/2,53/2,61/2,68/2,75/2,80/2,86/3,88/4,92/4,100/4,108/4,115/5,128/5,141/6,150/6,176/6,5/1,11/1,19/1,25/1,39/1,44/1,48/1,54/1,57/2,67/2,71/2,75/2,84/2,88/3,97/3,102/3,109/4,116/5,129/5,138/6,defend,2022
4/1,8/1,13/2,20/2,23/2,29/2,34/2,37/2,51/2,52/3,58/3,58/4,61/4,65/5,74/6,77/6,87/6,94/7,100/7,106/8,5/1,7/1,16/1,23/1,26/1,30/2,34/2,40/2,46/3,48/3,51/3,60/3,65/3,75/3,85/3,94/3,97/4,100/4,107/4,107/4,chased,2022
4/1,13/1,16/1,18/2,20/3,20/3,29/3,31/4,39/4,42/5,50/6,56/6,62/6,66/6,68/7,74/7,76/8,83/10,83/10,83/10,8/0,16/0,22/0,33/0,37/0,45/0,46/0,49/0,58/1,59/1,61/1,67/1,69/1,78/1,87/2,87/2,87/2,87/2,87/2,87/2,chased,2022
4/1,22/1,34/2,46/2,47/4,53/4,69/4,75/5,85/5,99/5,107/5,118/5,128/5,136/5,146/5,159/5,166/5,189/5,195/5,204/5,8/0,9/0,11/0,12/1,12/2,12/3,15/4,18/6,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,19/10,defend,2021
4/1,9/1,11/1,14/2,16/2,21/2,32/2,37/2,44/2,47/2,55/2,60/2,72/2,79/2,83/3,85/3,98/3,100/4,104/6,109/8,2/0,5/0,7/0,12/0,14/1,20/1,27/1,31/1,36/3,39/3,43/3,45/3,53/3,56/3,63/4,65/4,67/6,75/6,81/7,89/7,defend,2021
4/1,12/1,13/1,15/1,24/1,30/1,37/1,44/1,48/1,55/1,62/2,63/2,68/2,78/2,89/2,95/2,106/2,111/3,120/4,127/5,7/0,16/0,17/1,24/1,28/1,36/2,38/2,42/3,44/4,52/4,53/4,58/4,59/6,61/6,63/7,66/8,69/8,74/9,79/9,79/10,defend,2021
4/1,6/1,15/1,17/1,17/2,23/2,29/2,39/2,48/2,54/3,59/3,63/3,68/4,76/4,82/4,91/4,103/5,107/5,122/5,136/6,5/0,8/0,18/0,18/1,20/2,22/2,27/3,33/3,41/3,49/3,56/4,62/4,66/4,70/4,79/5,85/5,93/5,100/5,108/5,119/5,defend,2020
4/1,9/1,13/2,22/2,29/2,37/2,41/3,45/3,55/3,59/4,62/4,71/4,81/4,95/4,105/4,109/4,121/4,136/5,140/7,147/7,6/0,22/0,26/0,37/1,46/1,52/1,62/1,65/2,72/2,80/2,85/3,89/3,98/3,107/3,110/4,118/4,122/5,131/5,142/5,150/5,chased,2020
4/2,11/3,12/4,14/4,16/4,20/4,22/5,24/7,29/7,32/8,35/8,36/8,36/9,45/9,48/9,50/10,50/10,50/10,50/10,50/10,12/1,16/2,23/2,30/2,43/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,chased,2025
4/2,5/2,7/2,13/2,15/2,17/2,22/2,27/3,29/3,34/3,35/3,46/3,48/4,53/5,56/5,61/5,63/6,65/6,69/8,75/8,6/0,15/0,17/1,19/1,22/2,27/2,32/2,40/2,48/2,58/2,59/2,66/2,68/2,77/2,77/2,77/2,77/2,77/2,77/2,77/2,chased,2025
4/2,5/2,5/2,7/2,8/3,14/3,19/5,24/5,27/6,27/7,30/8,34/9,40/9,40/10,40/10,40/10,40/10,40/10,40/10,40/10,3/2,14/2,19/2,30/2,35/2,42/3,42/3,42/3,42/3,42/3,42/3,42/3,42/3,42/3,42/3,42/3,42/3,42/3,42/3,42/3,chased,2023
4/2,13/4,15/5,17/6,20/6,24/8,26/8,32/8,35/8,40/9,46/9,49/9,52/10,52/10,52/10,52/10,52/10,52/10,52/10,52/10,2/1,8/1,13/2,25/2,26/2,29/3,32/4,36/5,38/6,47/6,48/7,52/8,53/8,53/8,53/8,53/8,53/8,53/8,53/8,53/8,chased,2021
5/0,15/0,25/0,36/0,42/0,46/1,53/1,61/1,72/1,89/1,103/1,109/1,116/1,125/1,133/1,155/1,170/1,182/1,193/1,202/1,5/1,9/2,17/2,23/2,30/2,38/2,43/3,44/3,51/3,55/3,62/3,66/3,70/3,75/3,82/3,91/3,93/4,99/4,105/4,110/4,defend,2026
5/0,13/0,29/0,36/0,47/0,52/1,54/1,58/1,64/1,70/1,71/1,76/1,83/1,93/2,95/3,96/4,105/5,115/6,117/8,122/10,4/0,14/0,16/0,26/0,32/0,37/0,45/0,55/0,66/0,68/1,78/1,80/1,89/1,98/1,107/1,114/2,125/2,125/2,125/2,125/2,chased,2026
5/0,20/0,26/1,33/2,36/2,45/2,49/2,53/2,60/2,66/2,74/2,77/3,81/4,92/4,105/4,115/4,129/4,130/6,143/6,157/6,5/0,7/1,15/1,18/1,36/1,49/1,52/1,56/1,62/1,69/2,77/2,88/2,97/2,109/2,114/2,119/3,127/3,134/4,147/5,150/5,defend,2026
5/0,7/0,13/1,21/1,30/1,34/1,48/1,55/1,64/1,71/1,79/1,86/2,92/2,96/2,105/3,116/3,128/4,130/5,134/6,153/7,3/0,16/0,20/0,26/0,40/0,43/0,50/0,58/0,63/0,68/0,71/2,72/2,86/2,91/2,99/2,111/2,115/2,119/3,134/4,144/4,defend,2026
5/0,10/0,15/0,29/0,30/0,36/0,40/0,43/1,52/1,57/1,67/1,79/1,81/3,88/3,91/3,98/4,102/4,104/4,108/4,113/6,9/0,19/0,19/0,24/0,33/0,43/0,48/0,50/1,51/1,52/2,55/2,58/2,65/2,70/2,78/2,90/2,98/2,110/2,114/2,114/2,chased,2026
5/0,20/0,41/0,48/0,57/1,61/1,65/2,66/3,73/3,84/3,102/3,114/3,122/4,125/5,135/5,150/5,160/5,167/5,182/5,199/6,6/1,12/2,21/2,28/3,34/3,52/4,60/4,65/4,69/4,83/4,91/5,99/5,109/5,112/6,117/6,138/6,141/7,150/7,168/7,174/8,defend,2026
5/0,8/0,15/0,17/1,18/1,26/1,32/2,35/2,40/2,51/2,62/2,75/2,81/2,87/2,97/2,103/3,109/3,116/4,126/4,133/5,3/0,7/0,19/0,22/1,26/1,29/1,35/1,47/1,53/1,56/1,65/1,68/1,78/1,84/1,90/2,95/2,103/3,111/3,120/3,130/3,defend,2026
5/0,14/0,16/0,24/0,28/0,36/0,40/0,43/1,49/1,53/1,61/1,69/1,85/1,89/1,97/1,101/1,104/3,109/4,121/4,136/4,0/0,1/1,4/1,9/1,14/2,18/3,24/4,25/4,30/4,36/4,42/4,46/4,52/5,54/5,65/5,72/5,84/5,88/5,98/5,105/5,defend,2026
5/0,11/0,23/0,27/0,34/0,43/0,50/0,57/0,61/1,71/1,76/1,84/1,93/1,104/1,110/1,117/3,127/3,142/4,149/4,162/5,3/0,10/0,13/1,19/2,25/2,35/2,43/2,47/2,53/3,58/3,67/3,73/4,87/4,95/4,108/4,117/4,122/5,133/5,145/5,154/8,defend,2026
5/0,13/0,18/0,27/1,34/1,34/2,41/2,42/2,48/3,52/3,56/3,69/3,74/3,79/3,84/3,86/5,89/6,92/6,96/6,103/6,5/1,14/1,16/2,19/2,27/3,31/3,34/3,40/4,42/4,45/5,48/5,52/5,56/6,56/7,61/7,63/8,67/8,69/9,69/10,69/10,defend,2026
5/0,7/0,8/1,8/3,11/3,12/3,13/3,15/4,19/4,20/4,22/7,24/8,26/8,27/8,27/8,27/10,27/10,27/10,27/10,27/10,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,chased,2026
5/0,10/0,20/0,25/1,33/1,35/3,38/3,40/4,42/4,45/5,47/5,54/5,57/5,61/5,64/6,72/6,73/6,75/6,80/6,82/7,8/1,15/1,20/1,24/1,35/1,43/1,43/2,50/2,52/2,72/2,83/2,83/2,83/2,83/2,83/2,83/2,83/2,83/2,83/2,83/2,chased,2026
5/0,8/0,11/0,17/0,24/0,33/1,37/1,46/1,48/2,55/2,62/3,71/3,73/3,77/4,86/4,92/4,95/4,107/6,119/6,126/6,8/1,9/1,10/1,11/2,13/2,15/2,23/2,26/2,27/3,33/3,35/4,42/4,49/4,52/4,59/5,66/6,73/6,80/7,82/8,84/10,defend,2026
5/0,11/0,15/0,22/0,24/0,28/0,31/0,37/0,48/0,58/0,71/1,76/1,79/2,84/2,89/2,92/2,105/2,123/2,131/2,138/2,1/1,7/1,7/1,14/1,15/2,21/3,27/3,27/4,29/4,33/4,39/4,44/4,51/4,55/4,63/4,64/4,68/4,72/4,79/4,86/5,defend,2026
5/0,9/1,12/1,14/1,21/2,21/3,24/3,25/4,28/4,31/4,33/4,36/4,43/4,52/4,52/5,58/6,68/6,71/7,79/8,86/10,4/0,6/0,12/1,20/3,21/4,32/4,38/4,42/4,53/4,55/6,55/7,62/7,62/7,66/8,69/8,69/10,69/10,69/10,69/10,69/10,defend,2025
5/0,12/0,19/0,26/0,35/0,38/0,46/1,51/1,59/1,66/1,72/1,83/1,89/1,96/1,108/1,114/2,119/2,127/2,133/3,141/3,3/0,8/0,14/0,16/0,19/0,29/0,34/0,36/1,37/1,40/1,44/2,48/2,51/2,54/2,56/2,59/2,65/2,67/4,72/4,75/7,defend,2025
5/0,10/0,16/1,18/1,22/1,28/1,31/1,38/2,43/2,52/2,57/2,65/2,71/2,77/2,81/2,90/2,101/2,107/2,112/3,129/3,5/0,9/0,11/0,16/1,21/1,23/2,28/3,31/4,36/5,40/6,41/7,42/7,44/8,45/8,46/8,53/8,54/10,54/10,54/10,54/10,defend,2025
5/0,8/0,18/0,23/1,26/1,36/1,39/1,40/2,44/2,55/2,60/2,69/2,73/2,78/2,89/2,95/3,108/3,120/3,129/3,136/5,8/0,23/0,27/0,34/1,35/1,46/2,52/2,57/2,58/2,67/2,70/3,74/3,79/3,83/4,90/4,96/4,108/5,113/5,122/5,135/6,defend,2025
5/0,10/0,22/0,25/0,31/0,43/0,48/0,60/0,62/1,68/2,72/3,76/3,85/3,93/3,98/3,113/3,126/3,139/3,144/4,153/4,12/0,13/0,17/0,19/0,26/0,31/0,34/0,43/0,51/1,57/2,62/3,69/4,73/4,76/4,79/5,82/5,83/5,84/7,86/8,87/8,defend,2025
