1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year,match_number
8/0,13/1,16/1,20/2,23/3,26/3,37/3,49/3,57/3,60/5,70/5,79/6,83/6,88/6,96/6,100/6,102/7,103/8,111/9,120/9,4/0,7/0,16/1,17/1,27/1,32/1,40/1,45/2,49/2,57/3,68/4,75/4,80/4,82/4,86/5,91/5,97/6,106/7,110/8,121/8,chased,2022,1299204
5/0,10/0,19/1,25/2,29/3,36/3,42/3,49/3,53/4,54/5,59/5,61/5,76/5,80/5,86/5,98/5,108/5,117/5,126/5,133/8,5/0,8/0,13/0,22/0,29/0,31/0,41/0,44/1,49/2,51/3,56/3,64/4,72/4,77/5,83/5,94/6,107/6,117/7,123/7,127/10,defend,2023,1355606
13/0,25/1,38/1,42/1,58/1,76/1,87/2,94/3,94/3,94/3,94/3,94/3,94/3,94/3,94/3,94/3,94/3,94/3,94/3,94/3,6/2,24/2,30/2,36/2,49/2,59/2,70/4,85/4,85/4,85/4,85/4,85/4,85/4,85/4,85/4,85/4,85/4,85/4,85/4,85/4,defend,2023,1355607
9/0,19/0,33/0,38/0,45/0,51/2,56/2,70/2,79/2,86/3,87/4,92/4,99/4,102/5,105/6,111/6,119/6,122/7,126/8,131/10,11/0,12/0,15/1,24/2,26/3,33/3,38/3,45/3,50/3,58/3,66/3,70/3,77/4,86/4,95/5,104/5,109/5,113/6,117/7,132/7,chased,2023,1355608
2/1,8/1,16/1,20/1,36/1,41/1,51/2,66/2,70/3,74/3,81/5,83/5,84/5,84/5,84/5,84/5,84/5,84/5,84/5,84/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,unknown,2023,1355609
5/0,12/0,14/1,26/1,36/1,40/2,44/2,47/3,52/4,55/5,57/6,63/6,68/6,72/7,76/7,92/8,112/8,120/8,128/8,147/8,12/1,20/1,30/1,34/1,43/1,47/2,54/2,55/2,68/3,74/3,81/3,83/3,85/4,89/4,98/4,102/5,117/5,124/5,137/6,145/7,defend,2023,1355610
1/0,16/0,23/0,37/0,44/1,47/1,59/1,63/1,80/1,93/1,111/2,113/3,117/4,126/5,133/5,138/5,138/5,138/5,138/5,138/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,unknown,2023,1355611
5/0,8/0,19/0,29/0,54/0,63/0,68/0,73/0,84/0,96/0,100/1,116/1,123/1,134/1,139/1,159/1,173/1,177/2,187/3,201/3,5/0,16/1,26/1,39/1,40/1,44/1,52/1,58/1,59/2,61/2,68/2,70/3,80/3,85/3,99/3,116/3,119/4,132/4,135/5,141/5,defend,2023,1355613
10/0,22/0,32/1,34/1,37/2,43/4,45/4,50/4,55/4,60/4,68/4,71/5,76/5,85/5,94/5,105/5,114/5,119/5,128/6,138/6,3/1,11/1,19/1,29/1,39/1,46/1,53/1,59/2,62/2,66/2,71/2,79/2,88/2,89/3,92/5,100/5,108/6,116/6,126/6,138/7,unknown,2023,1355614
2/1,4/1,16/1,23/1,26/1,38/1,49/1,52/3,59/3,71/3,77/3,86/3,95/4,100/5,105/5,112/6,126/6,136/6,151/6,160/8,5/0,14/0,21/1,21/2,24/3,38/3,52/3,58/4,62/4,68/5,75/5,78/6,81/7,84/7,87/7,93/7,96/9,100/9,109/9,111/10,defend,2023,1355615
